Test Case ID,Module / Feature,Test Case Title,Requirement / User Story ID,Test Type,Priority,Severity,Preconditions,Test Data,Test Steps,Expected Result,Actual Result,Status,Environment,Executed By,Execution Date,Defect ID,Remarks / Comments
TC-061-I1W25,Edit Recipe,ผู้ที่ไม่ใช่เจ้าของแก้ไขสูตรคนอื่นไม่ได้,"REQ-EDIT-03 / I1-W2-5 Connect Delete/Edit triggers",Security,High,Major,"ล็อกอินเป็น test_user02 แต่สูตรเป็นของ test_user01","สูตรของ: test_user01 ผู้แก้: test_user02","1. ล็อกอินเป็น test_user02 2. พิมพ์ URL แก้ไขสูตรของ test_user01 ตรงๆ 3. สังเกตผล","ถูกปฏิเสธ ไม่เห็นฟอร์มแก้ไข หรือเห็นข้อความว่าไม่มีสิทธิ์",,,,,,,
TC-062-I1W17,Delete Recipe,ลบสูตรของตัวเองสำเร็จ,"REQ-DEL-01 / I1-W1-7 Delete Recipe",Functional,High,Major,"ล็อกอินเป็นเจ้าของ มีสูตรทดสอบสำหรับลบโดยเฉพาะ","สูตรสำหรับลบ: สูตรทดสอบลบ001","1. ล็อกอิน 2. เปิด /my-recipe 3. กดปุ่มลบที่สูตรทดสอบ 4. กดยืนยันในหน้าต่าง popup","การ์ดหายจาก /my-recipe ทันที ค้นหาชื่อเดิมใน /post ไม่เจอแล้ว",,,,,,,
TC-063-I1W25,Delete Recipe,กดยกเลิกตอนลบต้องไม่ลบจริง,"REQ-DEL-02 / I1-W2-5 Connect Delete/Edit triggers",Functional,Low,Trivial,"ล็อกอินเป็นเจ้าของ อยู่หน้า /my-recipe","สูตร: สูตรทดสอบลบ002 (ยังไม่ต้องการลบ)","1. กดปุ่มลบ 2. พอ popup ขึ้นให้กดยกเลิก/ปิด","popup ปิด สูตรยังอยู่เหมือนเดิม",,,,,,,
TC-064-I1W11,Set Ingredients (Store) - Create,ร้านค้าสร้างชุดวัตถุดิบพร้อมราคาสำเร็จ,"REQ-SET-01 / I1-W1-1 Create Recipe (Store)",Functional,High,Major,"ล็อกอินเป็นร้านค้า อยู่หน้า /post หรือ /create-recipe โหมดร้านค้า","ชื่อร้าน: ร้านป้าแดงตัวอย่าง ราคา: 99 ชุด: ชุดต้มยำ (กุ้ง+ข่า+ตะไคร้)","1. ล็อกอินร้านค้า 2. เปิดฟอร์มสร้างโพสต์ร้านค้า 3. กรอกชื่อร้าน ราคา รายละเอียด และชุดวัตถุดิบตัวอย่าง 4. กดเผยแพร่","โพสต์ชุดใหม่อยู่ใน Feed และใน /my-recipe แท็บ StoreSet",,,,,,,
TC-065-I1W21,Set Ingredients (Store) - Create,สร้างชุดโดยไม่กรอกราคาถูกบล็อก,"REQ-SET-02 / I1-W2-1 Validate Recipe Data",Functional,Medium,Minor,"ล็อกอินเป็นร้านค้า เปิดฟอร์มสร้างชุดอยู่","ชื่อร้าน: ร้านป้าแดงตัวอย่าง ราคา: ปล่อยว่าง","1. กรอกข้อมูลร้านครบยกเว้นราคา 2. กดเผยแพร่","บันทึกไม่สำเร็จ แสดงข้อความสีแดงว่า กรุณาใส่ราคาโดยประมาณ",,,,,,,
TC-066-I1W16,Set Ingredients (Store) - Create,อัปโหลดรูปชุดเกิน 5MB ถูกบล็อกที่หน้าเว็บ,"REQ-SET-03 / I1-W1-6 Implement Image Upload + I1-W2-4 Upload Image",Functional,Medium,Minor,"ล็อกอินเป็นร้านค้า เปิดฟอร์มสร้างชุดอยู่","ไฟล์ตัวอย่าง: รูป .jpg ขนาด 7MB","1. คลิกช่องอัปโหลดรูปชุด 2. เลือกไฟล์ตัวอย่างขนาดเกิน 3. ดูข้อความแจ้งเตือน","แสดงข้อความว่าไฟล์ใหญ่เกินไป (สูงสุด 5MB) และไม่ให้บันทึก",,,,,,,
TC-067-I1W12,Set Ingredients (Store) - Detail,กดดูรายละเอียดชุดจาก Feed ได้,"REQ-SET-04 / I1-W1-2 Get Recipe (Store)",Functional,Medium,Major,"มีโพสต์ชุด public ใน /post","ชุด: ชุดต้มยำ จาก TC-064","1. เปิด /post 2. คลิกการ์ดชุดต้มยำ 3. ดูหน้ารายละเอียด","เห็นชื่อร้าน ราคา รายละเอียดร้าน รายการชุดวัตถุดิบ และปุ่มติดต่อร้าน",,,,,,,
TC-068-I1W23,Set Ingredients (Store) - My,ดูชุดของร้านฉันในแท็บ StoreSet,"REQ-SET-05 / I1-W2-3 Fetch user's recipes (StoreSet)",Functional,Medium,Major,"ล็อกอินเป็นร้านค้า มีชุดที่สร้างจาก TC-064","แท็บ: StoreSet ใน /my-recipe","1. ล็อกอินร้านค้า 2. เปิด /my-recipe 3. กดแท็บ StoreSet","เห็นเฉพาะชุดของร้านตัวเอง ไม่ปนกับสูตรอาหารปกติ",,,,,,,
TC-069-I1W25,Set Ingredients (Store) - Delete,ลบชุดของร้านตัวเองสำเร็จ,"REQ-SET-06 / I1-W2-5 Connect Delete/Edit triggers (Store)",Functional,Medium,Major,"ล็อกอินเป็นร้านค้า มีชุดทดสอบสำหรับลบ","ชุดสำหรับลบ: ชุดทดสอบลบ001","1. เปิด /my-recipe แท็บ StoreSet 2. กดลบที่ชุดทดสอบ 3. กดยืนยัน","ชุดหายจาก StoreSet และค้นหาใน /post ไม่เจอแล้ว",,,,,,,
TC-070-I2W14,Favorites,กดหัวใจบันทึกสูตรจาก Feed สำเร็จ,"REQ-FAV-01 / I2-W1-4 Add & Remove Favorite",Functional,High,Major,"ล็อกอินแล้ว มีสูตรไก่ทอด public ใน /post","สูตร: ไก่ทอด ผู้ใช้: test_user01","1. ล็อกอิน 2. เปิด /post 3. กดไอคอนหัวใจที่การ์ดไก่ทอด 4. เปิด /favorites","หัวใจติดสีและการ์ดไก่ทอดปรากฏในหน้า /favorites",,,,,,,
TC-071-I2W16,Favorites,ยกเลิกบันทึกจากหน้า Favorites,"REQ-FAV-02 / I2-W1-6 Get Favorite Recipes",Functional,High,Major,"ล็อกอินแล้ว มีไก่ทอดอยู่ใน /favorites จาก TC-070","สูตร: ไก่ทอด","1. เปิด /favorites 2. กดปุ่มยกเลิกบันทึกที่การ์ดไก่ทอด","การ์ดหายจาก /favorites ทันที กลับไปดูที่ /post หัวใจดับลง",,,,,,,
TC-072-I2W21,Favorites,กดหัวใจซ้ำไปมาไม่สร้างรายการซ้ำ,"REQ-FAV-03 / I2-W2-1 Connect Favorite toggle API",Functional,Medium,Minor,"ล็อกอินแล้ว อยู่หน้า /post สูตรไก่ทอดยังไม่ถูกใจ","สูตร: ไก่ทอด กด 2 ครั้งติด","1. กดหัวใจครั้งที่ 1 2. กดหัวใจซ้ำครั้งที่ 2 ทันที 3. เปิด /favorites","ใน /favorites มีไก่ทอดแค่ 1 ใบ ไม่เบิ้ล",,,,,,,
TC-073-I2W212,Favorites,คนไม่ล็อกอินกดหัวใจถูกพาไป login,"REQ-FAV-04 / I2-W2-12 Fetch Favorites page",Security,Medium,Major,"ยังไม่ล็อกอิน อยู่หน้า /post","สถานะ: guest ไม่ล็อกอิน","1. เปิด /post แบบไม่ล็อกอิน 2. กดไอคอนหัวใจที่การ์ดใดก็ได้","ถูกพาไปหน้า /login พร้อมข้อความให้เข้าสู่ระบบก่อน",,,,,,,
TC-074-I2W22,Review & Rating,รีวิวสูตรพร้อมให้ 5 ดาวสำเร็จ,"REQ-REV-01 / I2-W2-2 Create Review & Rating",Functional,High,Major,"ล็อกอินแล้ว เปิดหน้ารายละเอียดสูตรไก่ทอด","ดาว: 5 คอมเมนต์ตัวอย่าง: อร่อยมาก ทำตามง่าย","1. ล็อกอิน 2. เปิดสูตรไก่ทอด 3. เลือก 5 ดาว 4. พิมพ์คอมเมนต์ตัวอย่าง 5. กดส่งรีวิว","รีวิวใหม่แสดงบนสุด ค่าเฉลี่ยดาวและจำนวนรีวิวเพิ่มขึ้น",,,,,,,
TC-075-I2W22,Review & Rating,ส่งรีวิวโดยไม่เลือกดาวถูกบล็อก,"REQ-REV-02 / I2-W2-2 Create Review & Rating",Functional,Medium,Minor,"ล็อกอินแล้ว เปิดหน้ารายละเอียดสูตรไก่ทอด","ดาว: ไม่เลือก คอมเมนต์: อร่อยดี","1. พิมพ์คอมเมนต์อย่างเดียวไม่กดดาว 2. กดส่งรีวิว","ส่งไม่สำเร็จ แสดงข้อความว่า กรุณาให้คะแนนดาวก่อน",,,,,,,
TC-076-I2W24,Review & Rating,แก้ไขรีวิวของตัวเองสำเร็จ,"REQ-REV-03 / I2-W2-4 Update & Delete Review",Functional,Medium,Major,"ล็อกอินเป็นเจ้าของรีวิวจาก TC-074","คอมเมนต์ใหม่: ขอแก้เป็น 4 ดาว อร่อยแต่เค็มนิดหน่อย","1. หารีวิวของตัวเอง 2. กดแก้ไข 3. เปลี่ยนข้อความเป็นตัวอย่างใหม่ 4. กดบันทึก","ข้อความรีวิวเปลี่ยนเป็นข้อความใหม่ทันที",,,,,,,
TC-077-I2W24,Review & Rating,ลบรีวิวของตัวเองสำเร็จ,"REQ-REV-04 / I2-W2-4 Update & Delete Review",Functional,Medium,Major,"ล็อกอินเป็นเจ้าของรีวิว มีรีวิวทดสอบสำหรับลบ","รีวิวสำหรับลบ: รีวิวทดสอบลบ001","1. หารีวิวทดสอบ 2. กดลบ 3. กดยืนยัน","รีวิวหายจากรายการ จำนวนรีวิวลดลง 1",,,,,,,
TC-078-I2W26,Review & Rating,ค่าเฉลี่ยดาวเปลี่ยนตามรีวิวที่เพิ่ม,"REQ-REV-05 / I2-W2-6 Calculate Recipe Rating",Functional,Medium,Minor,"มีสูตรทดสอบคะแนน 0 เปิดให้รีวิวได้","รีวิวที่ 1: 5 ดาว รีวิวที่ 2: 3 ดาว (ใช้ 2 ผู้ใช้ตัวอย่าง)","1. ให้ผู้ใช้ A รีวิว 5 ดาว 2. ให้ผู้ใช้ B รีวิว 3 ดาว 3. ดูค่าเฉลี่ยบนหัวสูตร","ค่าเฉลี่ยแสดง 4.0 และจำนวนรีวิวเป็น 2",,,,,,,
TC-079-I0W23,Profile,ดูโปรไฟล์ของตัวเองเห็นข้อมูลถูกต้อง,"REQ-PROFILE-01 / I0-W2-3 Get Profile",Functional,High,Major,"ล็อกอินแล้ว","ผู้ใช้: test_user01","1. ล็อกอิน 2. เปิดหน้าโปรไฟล์ของตัวเอง","เห็นชื่อผู้ใช้ อีเมล และรูปตรงกับบัญชีที่ล็อกอิน",,,,,,,
TC-080-I0W25,Profile,แก้ไขชื่อผู้ใช้สำเร็จ,"REQ-PROFILE-02 / I0-W2-5 Update Profile",Functional,High,Major,"ล็อกอินแล้ว อยู่หน้าแก้ไขโปรไฟล์","ชื่อใหม่ตัวอย่าง: test_user01_edit","1. เปิดแก้ไขโปรไฟล์ 2. เปลี่ยนชื่อเป็นค่าตัวอย่าง 3. กดบันทึก 4. รีเฟรชหน้า","ชื่อใหม่แสดงทั้งในโปรไฟล์และบน Navbar",,,,,,,
TC-081-I0W32,Profile,อัปโหลดรูปโปรไฟล์ใหม่สำเร็จ,"REQ-PROFILE-03 / I0-W3-2 Upload Profile Image",Functional,Medium,Major,"ล็อกอินแล้ว อยู่หน้าโปรไฟล์","ไฟล์ตัวอย่าง: รูป .jpg ขนาด 1MB","1. กดเปลี่ยนรูปโปรไฟล์ 2. เลือกรูปตัวอย่าง 3. กดบันทึก","รูปใหม่แสดงแทนรูปเดิมทันที รีเฟรชแล้วยังเป็นรูปใหม่",,,,,,,
TC-082-I0W28,Profile,เปลี่ยนรหัสผ่านด้วยรหัสเดิมถูกต้องสำเร็จ,"REQ-PROFILE-04 / I0-W2-8 Change Password",Functional,High,Major,"ล็อกอินแล้ว จำรหัสเดิมได้","รหัสเดิม: Password_1234 รหัสใหม่ตัวอย่าง: NewPass_5678","1. เปิดหน้าเปลี่ยนรหัสผ่าน 2. กรอกรหัสเดิมและรหัสใหม่ตัวอย่าง 3. กดบันทึก 4. ลอง logout แล้ว login ด้วยรหัสใหม่","login ด้วยรหัสใหม่ได้ รหัสเดิมใช้ไม่ได้แล้ว",,,,,,,
TC-083-I0W28,Profile,ขอรีเซ็ตรหัสผ่านผ่านหน้าลืมรหัสผ่าน,"REQ-PROFILE-05 / I0-W2-8 Change Password (Reset)",Functional,High,Major,"อยู่หน้า /login จำอีเมลที่สมัครได้แต่ลืมรหัส","อีเมลตัวอย่าง: test_user01@mail.com","1. เปิด /login 2. กดลืมรหัสผ่าน 3. กรอกอีเมลตัวอย่าง 4. กดส่ง 5. เปิดลิงก์ในอีเมลแล้วตั้งรหัสใหม่","เห็นข้อความว่าส่งลิงก์แล้ว และตั้งรหัสใหม่ login ได้",,,,,,,
TC-084-I0W35,Profile,ลบบัญชีของตัวเองสำเร็จ,"REQ-PROFILE-06 / I0-W3-5 Delete Account",Functional,High,Critical,"ล็อกอินด้วยบัญชีทดสอบสำหรับลบโดยเฉพาะ","บัญชีสำหรับลบ: test_delete01 / Password_1234","1. ล็อกอินบัญชีทดสอบ 2. เปิดตั้งค่าโปรไฟล์ 3. กดลบบัญชี 4. พิมพ์ยืนยันแล้วกดตกลง","บัญชีหลุดออกมา login ซ้ำด้วยบัญชีเดิมไม่ได้อีก",,,,,,,
